100,0.000239,350
200,0.000603375,784
300,0.000977917,1230
400,0.00134471,1684
500,0.00159454,2082
600,0.00185738,2492
700,0.00254283,2986
800,0.00308471,3438
900,0.00359621,3862
1000,0.00456817,4380
1100,0.00548692,4846
1200,0.00619958,5298
1300,0.00771183,5804
1400,0.00871671,6284
1500,0.00927708,6698
1600,0.0110645,7196
1700,0.0122677,7678
1800,0.0144385,8210
1900,0.016397,8738
2000,0.0187473,9308
2100,0.0205922,9742
2200,0.0223174,10266
2300,0.0251992,10826
2400,0.0266367,11294
2500,0.0312867,11914
2600,0.0330373,12478
2700,0.0348538,12916
2800,0.0393675,13542
2900,0.0434967,14166
3000,0.0457407,14592
